Order_ID,Order_Date,Category,Product,Unit_Price,Quantity,Total_Price,Discount_Percent,Discount_Amount,Final_Price,Customer_Segment,Region,Payment_Method,Shipping_Method
ORD10042,2024-01-03,Sports,Yoga Mat,302.67,3,908.01,0.0,0.0,908.01,Premium,West,Credit Card,Express
ORD10043,2024-01-03,Books,Non-Fiction,6.65,1,6.65,16.2,1.08,5.57,Premium,West,Debit Card,Standard
ORD10044,2024-01-03,Home & Kitchen,Coffee Maker,226.47,1,226.47,13.6,30.8,195.67,Premium,West,Credit Card,Standard
ORD10045,2024-01-03,Home & Kitchen,Blender,240.97,1,240.97,0.0,0.0,240.97,Regular,South,Debit Card,Express
ORD10046,2024-01-03,Electronics,Laptop,539.3,1,539.3,0.0,0.0,539.3,Premium,North,Debit Card,Standard
ORD10047,2024-01-03,Electronics,Smartwatch,271.65,1,271.65,0.0,0.0,271.65,Regular,North,Credit Card,Standard
ORD10048,2024-01-03,Electronics,Headphones,76.45,1,76.45,29.4,22.48,53.97,New,West,Debit Card,Same Day
ORD10049,2024-01-03,Home & Kitchen,Vacuum Cleaner,249.84,1,249.84,0.0,0.0,249.84,Premium,South,UPI,Standard
ORD10050,2024-01-03,Books,Comic Book,27.84,1,27.84,17.0,4.73,23.11,Regular,East,Credit Card,Standard
ORD10051,2024-01-03,Home & Kitchen,Coffee Maker,123.38,1,123.38,8.5,10.49,112.89,Premium,South,Credit Card,Express
ORD10052,2024-01-03,Electronics,Laptop,913.68,1,913.68,0.0,0.0,913.68,Regular,South,Cash on Delivery,Express
ORD10053,2024-01-03,Electronics,Headphones,1410.59,1,1410.59,24.9,351.24,1059.35,Regular,East,Debit Card,Express
ORD10054,2024-01-04,Electronics,Headphones,288.19,1,288.19,0.0,0.0,288.19,Premium,South,Debit Card,Express
ORD10055,2024-01-04,Sports,Tennis Racket,315.81,1,315.81,0.0,0.0,315.81,Regular,East,Debit Card,Standard
ORD10056,2024-01-04,Electronics,Headphones,837.13,1,837.13,0.0,0.0,837.13,Regular,East,UPI,Standard
ORD10057,2024-01-04,Home & Kitchen,Vacuum Cleaner,240.81,1,240.81,0.0,0.0,240.81,Regular,North,UPI,Standard
ORD10058,2024-01-04,Books,Textbook,38.96,1,38.96,0.0,0.0,38.96,Premium,South,Debit Card,Express
ORD10059,2024-01-04,Home & Kitchen,Cookware Set,84.19,1,84.19,0.0,0.0,84.19,Premium,East,UPI,Standard
ORD10060,2024-01-04,Clothing,Jacket,144.48,1,144.48,0.0,0.0,144.48,Regular,South,Credit Card,Express
ORD10061,2024-01-04,Electronics,Smartphone,936.61,1,936.61,0.0,0.0,936.61,New,West,Debit Card,Express
ORD10062,2024-01-04,Books,Non-Fiction,39.71,1,39.71,0.0,0.0,39.71,Regular,North,Credit Card,Express
ORD10063,2024-01-04,Electronics,Smartwatch,1478.02,1,1478.02,0.0,0.0,1478.02,Regular,West,UPI,Standard
ORD10064,2024-01-04,Clothing,T-Shirt,115.47,1,115.47,0.0,0.0,115.47,Premium,East,Credit Card,Standard
ORD10065,2024-01-04,Sports,Dumbbells,245.61,2,491.22,0.0,0.0,491.22,Premium,North,Cash on Delivery,Standard
ORD10066,2024-01-04,Electronics,Smartwatch,1376.53,1,1376.53,29.0,399.19,977.34,Premium,East,Credit Card,Express
ORD10067,2024-01-04,Electronics,Tablet,825.85,1,825.85,0.0,0.0,825.85,Regular,South,Debit Card,Standard
ORD10068,2024-01-04,Clothing,Dress,99.37,1,99.37,0.0,0.0,99.37,New,East,Credit Card,Express
ORD10069,2024-01-05,Home & Kitchen,Coffee Maker,132.21,1,132.21,0.0,0.0,132.21,Regular,North,UPI,Same Day
ORD10070,2024-01-05,Clothing,Jeans,70.18,1,70.18,10.8,7.58,62.6,Regular,East,UPI,Standard
ORD10071,2024-01-05,Books,Magazine,31.78,1,31.78,0.0,0.0,31.78,Premium,West,Debit Card,Express
ORD10072,2024-01-05,Sports,Tennis Racket,481.7,2,963.4,0.0,0.0,963.4,Regular,South,Credit Card,Standard
ORD10073,2024-01-05,Books,Magazine,6.19,1,6.19,0.0,0.0,6.19,Premium,South,UPI,Express
ORD10074,2024-01-05,Clothing,Jeans,64.01,1,64.01,0.0,0.0,64.01,New,South,UPI,Standard
ORD10075,2024-01-05,Electronics,Smartphone,1157.23,1,1157.23,0.0,0.0,1157.23,New,South,UPI,Express
ORD10076,2024-01-05,Electronics,Laptop,835.37,1,835.37,0.0,0.0,835.37,Regular,North,UPI,Same Day
ORD10077,2024-01-05,Electronics,Smartwatch,76.67,2,153.34,0.0,0.0,153.34,Regular,East,Credit Card,Standard
ORD10078,2024-01-05,Sports,Bicycle,15.39,1,15.39,0.0,0.0,15.39,New,West,Debit Card,Express
ORD10079,2024-01-05,Electronics,Smartwatch,1265.26,1,1265.26,7.3,92.36,1172.9,Premium,South,Debit Card,Same Day
ORD10080,2024-01-05,Books,Magazine,22.52,1,22.52,0.0,0.0,22.52,Regular,East,Credit Card,Standard
ORD10081,2024-01-06,Books,Magazine,26.77,1,26.77,0.0,0.0,26.77,Premium,North,UPI,Express
ORD10082,2024-01-06,Electronics,Laptop,1167.82,1,1167.82,0.0,0.0,1167.82,Regular,East,Debit Card,Express
ORD10083,2024-01-06,Electronics,Headphones,162.76,1,162.76,0.0,0.0,162.76,New,North,Credit Card,Standard
ORD10084,2024-01-06,Sports,Yoga Mat,475.62,1,475.62,0.0,0.0,475.62,Regular,South,UPI,Express
ORD10085,2024-01-06,Books,Fiction Novel,45.65,1,45.65,0.0,0.0,45.65,Premium,North,UPI,Standard
ORD10086,2024-01-06,Sports,Dumbbells,288.29,2,576.58,0.0,0.0,576.58,Regular,East,Credit Card,Same Day
ORD10087,2024-01-06,Sports,Dumbbells,375.08,1,375.08,0.0,0.0,375.08,Regular,South,UPI,Express
ORD10088,2024-01-06,Home & Kitchen,Cookware Set,41.55,1,41.55,0.0,0.0,41.55,Regular,East,Credit Card,Standard
ORD10089,2024-01-06,Books,Fiction Novel,38.2,1,38.2,0.0,0.0,38.2,Regular,West,Debit Card,Standard
ORD10090,2024-01-06,Electronics,Smartwatch,816.96,2,1633.92,0.0,0.0,1633.92,Premium,West,Debit Card,Express
ORD10091,2024-01-06,Home & Kitchen,Coffee Maker,182.61,1,182.61,0.0,0.0,182.61,Regular,North,Credit Card,Standard
ORD10092,2024-01-06,Electronics,Smartwatch,564.2,1,564.2,0.0,0.0,564.2,Regular,North,Credit Card,Standard
ORD10093,2024-01-06,Clothing,T-Shirt,67.87,1,67.87,0.0,0.0,67.87,New,East,Credit Card,Standard
ORD10094,2024-01-06,Sports,Tennis Racket,452.82,3,1358.46,25.8,350.48,1007.98,Premium,North,Debit Card,Express
ORD10095,2024-01-06,Electronics,Headphones,305.97,1,305.97,0.0,0.0,305.97,Regular,East,Debit Card,Standard
ORD10096,2024-01-06,Sports,Tennis Racket,302.66,1,302.66,0.0,0.0,302.66,Regular,South,Debit Card,Same Day
ORD10097,2024-01-06,Home & Kitchen,Cookware Set,82.67,1,82.67,0.0,0.0,82.67,Premium,East,Credit Card,Express
ORD10098,2024-01-06,Electronics,Laptop,114.35,1,114.35,0.0,0.0,114.35,Regular,South,Cash on Delivery,Express
ORD10099,2024-01-06,Clothing,Jacket,112.66,1,112.66,0.0,0.0,112.66,Regular,North,UPI,Standard
ORD10100,2024-01-06,Home & Kitchen,Cookware Set,273.82,1,273.82,0.0,0.0,273.82,Premium,South,UPI,Express
ORD10101,2024-01-06,Sports,Running Shoes,426.79,1,426.79,0.0,0.0,426.79,Premium,West,UPI,Express
ORD10102,2024-01-06,Books,Magazine,44.64,1,44.64,0.0,0.0,44.64,Regular,West,Credit Card,Standard
ORD10103,2024-01-06,Electronics,Tablet,856.46,1,856.46,0.0,0.0,856.46,Regular,North,Credit Card,Standard
ORD10104,2024-01-06,Electronics,Smartphone,969.31,1,969.31,0.0,0.0,969.31,Premium,North,UPI,Standard
ORD10105,2024-01-06,Clothing,Sneakers,39.23,1,39.23,24.3,9.53,29.7,Premium,North,UPI,Same Day
ORD10106,2024-01-07,Books,Fiction Novel,7.61,1,7.61,0.0,0.0,7.61,New,West,UPI,Standard
ORD10107,2024-01-07,Home & Kitchen,Bed Sheets,26.88,1,26.88,0.0,0.0,26.88,Regular,South,UPI,Express
ORD10108,2024-01-07,Clothing,Dress,142.48,1,142.48,0.0,0.0,142.48,New,South,UPI,Standard
ORD10109,2024-01-07,Books,Comic Book,34.45,1,34.45,0.0,0.0,34.45,New,North,Debit Card,Same Day
ORD10110,2024-01-07,Home & Kitchen,Vacuum Cleaner,96.78,3,290.34,21.3,61.84,228.5,Regular,West,Credit Card,Standard
ORD10111,2024-01-07,Clothing,Sneakers,78.88,2,157.76,0.0,0.0,157.76,Regular,West,UPI,Express
ORD10112,2024-01-07,Books,Textbook,40.86,1,40.86,20.0,8.17,32.69,New,West,Credit Card,Standard
ORD10113,2024-01-07,Home & Kitchen,Bed Sheets,140.49,1,140.49,0.0,0.0,140.49,Regular,North,Debit Card,Standard
ORD10114,2024-01-07,Clothing,Dress,35.19,1,35.19,0.0,0.0,35.19,Premium,South,Cash on Delivery,Express
ORD10115,2024-01-07,Books,Comic Book,40.09,1,40.09,17.5,7.02,33.07,Regular,North,Credit Card,Same Day
ORD10116,2024-01-07,Home & Kitchen,Bed Sheets,116.88,1,116.88,25.6,29.92,86.96,New,North,Debit Card,Express
ORD10117,2024-01-08,Clothing,Jeans,146.96,1,146.96,0.0,0.0,146.96,Premium,West,Credit Card,Express
ORD10118,2024-01-08,Electronics,Headphones,95.8,2,191.6,0.0,0.0,191.6,Regular,South,UPI,Express
ORD10119,2024-01-08,Sports,Tennis Racket,247.36,1,247.36,9.1,22.51,224.85,Premium,East,UPI,Standard
ORD10120,2024-01-08,Clothing,Jeans,23.15,1,23.15,0.0,0.0,23.15,Regular,West,Credit Card,Same Day
ORD10121,2024-01-08,Electronics,Smartwatch,1005.13,1,1005.13,0.0,0.0,1005.13,Premium,East,Credit Card,Same Day
ORD10122,2024-01-08,Books,Non-Fiction,23.15,1,23.15,0.0,0.0,23.15,Regular,North,UPI,Standard
ORD10123,2024-01-08,Clothing,Sneakers,99.88,1,99.88,0.0,0.0,99.88,Premium,South,Debit Card,Standard
ORD10124,2024-01-08,Electronics,Smartphone,755.67,1,755.67,0.0,0.0,755.67,New,South,Credit Card,Standard
ORD10125,2024-01-08,Electronics,Smartwatch,725.43,1,725.43,0.0,0.0,725.43,Regular,East,Debit Card,Express
ORD10126,2024-01-08,Clothing,Jeans,39.43,1,39.43,0.0,0.0,39.43,Regular,North,UPI,Standard
ORD10127,2024-01-08,Clothing,Jeans,27.86,1,27.86,0.0,0.0,27.86,Regular,South,UPI,Standard
ORD10128,2024-01-08,Home & Kitchen,Bed Sheets,291.55,1,291.55,0.0,0.0,291.55,Regular,North,Credit Card,Standard
ORD10129,2024-01-08,Sports,Yoga Mat,230.22,1,230.22,0.0,0.0,230.22,New,North,Debit Card,Standard
ORD10130,2024-01-08,Clothing,Sneakers,79.08,1,79.08,11.7,9.25,69.83,New,East,UPI,Standard
ORD10131,2024-01-08,Electronics,Smartwatch,1408.08,1,1408.08,0.0,0.0,1408.08,Regular,South,Cash on Delivery,Standard
ORD10132,2024-01-08,Electronics,Smartphone,626.2,1,626.2,0.0,0.0,626.2,Premium,North,Credit Card,Same Day
ORD10133,2024-01-08,Clothing,Jacket,80.99,1,80.99,21.8,17.66,63.33,Regular,North,Credit Card,Express
ORD10134,2024-01-08,Sports,Yoga Mat,368.11,1,368.11,0.0,0.0,368.11,Regular,West,Credit Card,Express
ORD10135,2024-01-08,Clothing,Jeans,47.96,1,47.96,0.0,0.0,47.96,New,East,Credit Card,Express
ORD10136,2024-01-08,Home & Kitchen,Cookware Set,206.75,1,206.75,0.0,0.0,206.75,Regular,North,UPI,Standard
ORD10137,2024-01-08,Sports,Bicycle,393.37,1,393.37,0.0,0.0,393.37,Premium,West,Debit Card,Standard
ORD10138,2024-01-08,Sports,Dumbbells,440.17,1,440.17,0.0,0.0,440.17,New,South,Credit Card,Express
ORD10139,2024-01-08,Home & Kitchen,Blender,130.93,1,130.93,6.8,8.9,122.03,Regular,South,Credit Card,Standard
ORD10140,2024-01-09,Home & Kitchen,Blender,232.62,1,232.62,0.0,0.0,232.62,Premium,West,UPI,Same Day
ORD10141,2024-01-09,Electronics,Smartwatch,628.29,1,628.29,0.0,0.0,628.29,Premium,East,UPI,Express
ORD10142,2024-01-09,Sports,Bicycle,412.97,1,412.97,0.0,0.0,412.97,New,North,Cash on Delivery,Express
ORD10143,2024-01-09,Electronics,Smartwatch,559.85,1,559.85,0.0,0.0,559.85,Regular,North,Credit Card,Standard
ORD10144,2024-01-09,Home & Kitchen,Blender,190.89,1,190.89,0.0,0.0,190.89,Regular,South,Credit Card,Standard
ORD10145,2024-01-09,Electronics,Smartwatch,317.65,1,317.65,25.4,80.68,236.97,Premium,North,Cash on Delivery,Standard
ORD10146,2024-01-09,Clothing,Dress,100.48,2,200.96,20.3,40.79,160.17,Premium,West,UPI,Standard
ORD10147,2024-01-09,Clothing,Dress,137.3,1,137.3,0.0,0.0,137.3,Premium,North,Credit Card,Express
ORD10148,2024-01-09,Books,Fiction Novel,9.3,1,9.3,0.0,0.0,9.3,Regular,East,Credit Card,Express
ORD10149,2024-01-09,Electronics,Laptop,308.75,1,308.75,0.0,0.0,308.75,Regular,North,UPI,Standard
ORD10150,2024-01-09,Electronics,Laptop,1482.29,1,1482.29,0.0,0.0,1482.29,Premium,South,Debit Card,Express
ORD10151,2024-01-09,Sports,Running Shoes,411.17,1,411.17,0.0,0.0,411.17,Regular,West,UPI,Standard
ORD10152,2024-01-09,Home & Kitchen,Coffee Maker,110.54,1,110.54,0.0,0.0,110.54,Regular,North,Debit Card,Standard
ORD10153,2024-01-09,Electronics,Smartwatch,443.16,1,443.16,14.5,64.26,378.9,Premium,North,Debit Card,Standard
ORD10154,2024-01-09,Clothing,Jacket,113.64,1,113.64,0.0,0.0,113.64,Regular,East,Cash on Delivery,Standard
ORD10155,2024-01-10,Electronics,Smartphone,190.18,1,190.18,0.0,0.0,190.18,Premium,South,UPI,Express
ORD10156,2024-01-10,Electronics,Tablet,1462.54,1,1462.54,11.4,166.73,1295.81,Premium,East,Credit Card,Express
ORD10157,2024-01-10,Books,Fiction Novel,32.38,1,32.38,0.0,0.0,32.38,Regular,North,Credit Card,Standard
ORD10158,2024-01-10,Clothing,Jeans,141.49,1,141.49,0.0,0.0,141.49,Regular,South,Debit Card,Express
ORD10159,2024-01-10,Sports,Tennis Racket,291.55,1,291.55,0.0,0.0,291.55,Regular,South,Debit Card,Standard
ORD10160,2024-01-10,Books,Non-Fiction,44.06,1,44.06,22.4,9.87,34.19,Premium,South,Credit Card,Standard
ORD10161,2024-01-10,Clothing,Sneakers,92.36,2,184.72,27.5,50.8,133.92,Premium,South,Credit Card,Express
ORD10162,2024-01-10,Sports,Running Shoes,256.26,1,256.26,29.1,74.57,181.69,Regular,South,Credit Card,Standard
ORD10163,2024-01-10,Home & Kitchen,Bed Sheets,107.31,1,107.31,0.0,0.0,107.31,Regular,North,UPI,Standard
ORD10164,2024-01-10,Books,Textbook,22.39,1,22.39,0.0,0.0,22.39,Regular,North,Debit Card,Express
ORD10165,2024-01-10,Clothing,Jacket,38.04,1,38.04,0.0,0.0,38.04,Premium,North,Credit Card,Express
ORD10166,2024-01-10,Home & Kitchen,Coffee Maker,85.14,1,85.14,0.0,0.0,85.14,Regular,East,UPI,Express
ORD10167,2024-01-10,Clothing,Dress,62.82,1,62.82,8.3,5.21,57.61,Regular,North,Debit Card,Same Day
ORD10168,2024-01-10,Clothing,Dress,117.64,1,117.64,0.0,0.0,117.64,Premium,North,Credit Card,Standard
ORD10169,2024-01-10,Sports,Bicycle,30.89,1,30.89,8.2,2.53,28.36,Regular,East,Debit Card,Standard
ORD10170,2024-01-11,Sports,Running Shoes,329.34,1,329.34,7.6,25.03,304.31,Premium,West,Debit Card,Same Day
ORD10171,2024-01-11,Books,Fiction Novel,35.97,1,35.97,0.0,0.0,35.97,Regular,West,Credit Card,Same Day
ORD10172,2024-01-11,Home & Kitchen,Blender,128.18,1,128.18,29.7,38.07,90.11,Regular,West,Debit Card,Express
ORD10173,2024-01-11,Clothing,Dress,20.13,1,20.13,0.0,0.0,20.13,Premium,West,Credit Card,Standard
ORD10174,2024-01-11,Clothing,Sneakers,62.21,1,62.21,0.0,0.0,62.21,Premium,North,Credit Card,Standard
ORD10175,2024-01-11,Books,Non-Fiction,5.94,1,5.94,0.0,0.0,5.94,New,North,UPI,Express
ORD10176,2024-01-11,Electronics,Laptop,420.35,1,420.35,0.0,0.0,420.35,Regular,West,Debit Card,Express
ORD10177,2024-01-11,Electronics,Headphones,1470.96,1,1470.96,13.5,198.58,1272.38,Premium,East,UPI,Express
ORD10178,2024-01-11,Sports,Yoga Mat,192.36,1,192.36,9.9,19.04,173.32,Regular,East,Cash on Delivery,Standard
ORD10179,2024-01-11,Sports,Bicycle,150.09,1,150.09,0.0,0.0,150.09,New,West,Cash on Delivery,Standard
ORD10180,2024-01-11,Home & Kitchen,Bed Sheets,35.08,1,35.08,22.1,7.75,27.33,Premium,North,Debit Card,Express
ORD10181,2024-01-11,Electronics,Smartphone,359.59,1,359.59,0.0,0.0,359.59,New,East,Debit Card,Standard
ORD10182,2024-01-11,Clothing,Jacket,35.46,1,35.46,0.0,0.0,35.46,Premium,West,Debit Card,Standard
ORD10183,2024-01-11,Sports,Running Shoes,365.97,3,1097.91,0.0,0.0,1097.91,Regular,South,UPI,Standard
ORD10184,2024-01-11,Books,Textbook,13.46,1,13.46,23.6,3.18,10.28,Premium,East,Credit Card,Express
ORD10185,2024-01-11,Electronics,Smartphone,1150.08,1,1150.08,14.6,167.91,982.17,Premium,West,Debit Card,Standard
ORD10186,2024-01-11,Home & Kitchen,Blender,268.13,1,268.13,0.0,0.0,268.13,Regular,South,UPI,Standard
ORD10187,2024-01-11,Clothing,T-Shirt,67.34,1,67.34,22.6,15.22,52.12,New,South,UPI,Standard
ORD10188,2024-01-11,Electronics,Smartphone,919.09,1,919.09,0.0,0.0,919.09,Regular,South,UPI,Standard
ORD10189,2024-01-11,Books,Non-Fiction,36.85,1,36.85,0.0,0.0,36.85,Premium,South,Credit Card,Standard
ORD10190,2024-01-11,Electronics,Tablet,140.69,1,140.69,0.0,0.0,140.69,Premium,East,Credit Card,Standard
ORD10191,2024-01-11,Home & Kitchen,Vacuum Cleaner,212.06,3,636.18,0.0,0.0,636.18,Premium,East,Cash on Delivery,Standard
ORD10192,2024-01-11,Sports,Tennis Racket,22.84,1,22.84,0.0,0.0,22.84,New,North,Debit Card,Standard
ORD10193,2024-01-11,Clothing,Jeans,132.82,1,132.82,7.0,9.3,123.52,Regular,West,Debit Card,Standard
ORD10194,2024-01-11,Books,Non-Fiction,45.92,1,45.92,0.0,0.0,45.92,Regular,North,Credit Card,Standard
ORD10195,2024-01-12,Sports,Yoga Mat,478.74,1,478.74,0.0,0.0,478.74,Regular,North,Credit Card,Standard
ORD10196,2024-01-12,Electronics,Smartphone,1274.94,1,1274.94,0.0,0.0,1274.94,Regular,West,Credit Card,Express
ORD10197,2024-01-12,Clothing,Jeans,70.5,1,70.5,0.0,0.0,70.5,New,North,UPI,Same Day
ORD10198,2024-01-12,Sports,Dumbbells,415.66,1,415.66,0.0,0.0,415.66,Premium,South,Cash on Delivery,Standard
ORD10199,2024-01-12,Electronics,Laptop,722.7,2,1445.4,11.3,163.33,1282.07,Premium,South,Credit Card,Standard
ORD10200,2024-01-12,Sports,Yoga Mat,266.46,1,266.46,0.0,0.0,266.46,New,East,Credit Card,Express
ORD10201,2024-01-12,Electronics,Smartphone,752.81,1,752.81,0.0,0.0,752.81,New,West,UPI,Standard
ORD10202,2024-01-12,Books,Comic Book,7.8,1,7.8,11.5,0.9,6.9,New,South,Credit Card,Express
ORD10203,2024-01-13,Electronics,Tablet,1147.29,1,1147.29,16.3,187.01,960.28,Regular,West,UPI,Express
ORD10204,2024-01-13,Sports,Dumbbells,283.41,1,283.41,0.0,0.0,283.41,Regular,South,Credit Card,Standard
ORD10205,2024-01-13,Clothing,T-Shirt,68.65,1,68.65,0.0,0.0,68.65,Regular,North,Credit Card,Standard
ORD10206,2024-01-13,Books,Magazine,33.56,1,33.56,0.0,0.0,33.56,Regular,West,Debit Card,Standard
ORD10207,2024-01-13,Books,Textbook,21.34,1,21.34,0.0,0.0,21.34,Regular,South,Debit Card,Standard
ORD10208,2024-01-13,Books,Textbook,19.09,1,19.09,0.0,0.0,19.09,New,West,Credit Card,Express
ORD10209,2024-01-13,Sports,Bicycle,492.21,1,492.21,5.3,26.09,466.12,Premium,North,UPI,Standard
ORD10210,2024-01-13,Home & Kitchen,Coffee Maker,28.22,1,28.22,0.0,0.0,28.22,Regular,South,Cash on Delivery,Standard
ORD10211,2024-01-13,Sports,Tennis Racket,382.2,3,1146.6,0.0,0.0,1146.6,New,East,Credit Card,Standard
ORD10212,2024-01-13,Sports,Dumbbells,129.73,1,129.73,0.0,0.0,129.73,Regular,East,Debit Card,Same Day
ORD10213,2024-01-13,Electronics,Headphones,994.16,1,994.16,0.0,0.0,994.16,Regular,West,Debit Card,Same Day
ORD10214,2024-01-13,Electronics,Smartphone,521.4,1,521.4,0.0,0.0,521.4,Regular,North,UPI,Standard
ORD10215,2024-01-14,Clothing,Jacket,108.71,1,108.71,0.0,0.0,108.71,Regular,North,Credit Card,Standard
ORD10216,2024-01-14,Sports,Running Shoes,124.05,1,124.05,9.2,11.41,112.64,Regular,West,UPI,Express
ORD10217,2024-01-14,Clothing,Sneakers,66.52,1,66.52,0.0,0.0,66.52,Regular,West,Debit Card,Standard
ORD10218,2024-01-14,Electronics,Laptop,473.72,2,947.44,0.0,0.0,947.44,Premium,West,Credit Card,Same Day
ORD10219,2024-01-14,Clothing,T-Shirt,53.01,1,53.01,5.3,2.81,50.2,Regular,East,Debit Card,Standard
ORD10220,2024-01-14,Home & Kitchen,Coffee Maker,250.87,1,250.87,0.0,0.0,250.87,Regular,East,Debit Card,Standard
ORD10221,2024-01-14,Sports,Bicycle,300.68,1,300.68,19.6,58.93,241.75,Regular,North,Credit Card,Express
ORD10222,2024-01-15,Sports,Dumbbells,290.94,1,290.94,0.0,0.0,290.94,Regular,North,Debit Card,Express
ORD10223,2024-01-15,Electronics,Headphones,1252.47,1,1252.47,0.0,0.0,1252.47,Premium,South,Debit Card,Standard
